model,group,n,positive_rate,tpr,fpr
LogisticRegression,0,2075,0.0,0.0,0.0
LogisticRegression,1,2437,0.0,0.0,0.0
LogisticRegression,2,888,0.0,0.0,0.0
NeuralNet,0,2075,0.013975903614457831,0.01977401129943503,0.012783265543288786
NeuralNet,1,2437,0.015592942141977841,0.010683760683760684,0.01675977653631285
NeuralNet,2,888,0.019144144144144143,0.02631578947368421,0.017191977077363897
RandomForest,0,2075,0.005301204819277108,0.002824858757062147,0.005810575246949448
RandomForest,1,2437,0.006565449322938038,0.004273504273504274,0.007110208227526663
RandomForest,2,888,0.0011261261261261261,0.0,0.0014326647564469914
