seed,model,variant,accuracy,DPD,EOD
42,LogisticRegression,base,0.8125925925925926,0.0,0.0
43,LogisticRegression,base,0.8125925925925926,0.0,0.0
44,LogisticRegression,base,0.8125925925925926,0.0,0.0
45,LogisticRegression,base,0.8125925925925926,0.0,0.0
46,LogisticRegression,base,0.8125925925925926,0.0,0.0
42,LogisticRegression,mitigated,0.8125925925925926,0.0,0.0
43,LogisticRegression,mitigated,0.8125925925925926,0.0,0.0
44,LogisticRegression,mitigated,0.8125925925925926,0.0,0.0
45,LogisticRegression,mitigated,0.8125925925925926,0.0,0.0
46,LogisticRegression,mitigated,0.8125925925925926,0.0,0.0
42,NeuralNet,base,0.8033333333333333,0.0051682405296863115,0.015632028789923525
43,NeuralNet,base,0.8118518518518518,0.0012310217480508822,0.0015236160487557136
44,NeuralNet,base,0.8118518518518518,0.004022576793661131,0.004297994269340974
45,NeuralNet,base,0.8066666666666666,0.005296063202337458,0.005870481126844356
46,NeuralNet,base,0.8111111111111111,0.004924086992203529,0.008547008547008548
42,NeuralNet,mitigated,0.8118518518518518,0.0018419116695686248,0.0023574574966420785
43,NeuralNet,mitigated,0.8125925925925926,0.0,0.0
44,NeuralNet,mitigated,0.8127777777777778,0.0011261261261261261,0.005263157894736842
45,NeuralNet,mitigated,0.8124074074074074,0.0004103405826836274,0.0005078720162519045
46,NeuralNet,mitigated,0.8125925925925926,0.0,0.0
42,RandomForest,base,0.8085185185185185,0.004723537653369414,0.006185415487331577
43,RandomForest,base,0.8077777777777778,0.0059600564419841524,0.010526315789473684
44,RandomForest,base,0.8105555555555556,0.002366389779192405,0.007701457032411537
45,RandomForest,base,0.81,0.0017752089438836426,0.00641025641025641
46,RandomForest,base,0.8088888888888889,0.002371274181667169,0.004273504273504274
42,RandomForest,mitigated,0.8125925925925926,0.0,0.0
43,RandomForest,mitigated,0.8125925925925926,0.0,0.0
44,RandomForest,mitigated,0.8125925925925926,0.0,0.0
45,RandomForest,mitigated,0.8125925925925926,0.0,0.0
46,RandomForest,mitigated,0.8125925925925926,0.0,0.0
